,Bus_vlt,Panel_cur
0,0,70.53090440891962
1,1,70.53090438629097
2,2,70.53090435922364
3,3,70.53090432686595
4,4,70.5309042882075
5,5,70.53090424204959
6,6,70.53090418697063
7,7,70.5309041212851
8,8,70.53090404299526
9,9,70.53090394973407
10,10,70.53090383869785
11,11,70.53090370656696
12,12,70.5309035494119
13,13,70.53090336258299
14,14,70.53090314057995
15,15,70.53090287689838
16,16,70.53090256384873
17,17,70.53090219234294
18,18,70.53090175164328
19,19,70.53090122906637
20,20,70.5309006096347
21,21,70.53089987566639
22,22,70.5308990062924
23,23,70.53089797688814
24,24,70.53089675840508
25,25,70.53089531658411
26,26,70.53089361103068
27,27,70.53089159412704
28,28,70.53088920975355
29,29,70.53088639178551
30,30,70.53088306232658
31,31,70.53087912963296
32,32,70.53087448567472
33,33,70.53086900327101
34,34,70.53086253272575
35,35,70.53085489787694
36,36,70.53084589145828
37,37,70.5308352696544
38,38,70.53082274571025
39,39,70.5308079824318
40,40,70.53079058338675
41,41,70.53077008258182
42,42,70.53074593235432
43,43,70.53071748917141
44,44,70.53068399697783
45,45,70.53064456767167
46,46,70.53059815821625
47,47,70.53054354381203
48,48,70.53047928645474
49,49,70.53040369809143
50,50,70.53031479745206
51,51,70.5302102594772
52,52,70.5300873560808
53,53,70.52994288677117
54,54,70.52977309740514
55,55,70.52957358505724
56,56,70.52933918664476
57,57,70.52906384855147
58,58,70.5287404740262
59,59,70.52836074458962
60,60,70.52791491104692
61,61,70.52739154896237
62,62,70.52677727258612
63,63,70.52605640021227
64,64,70.5252105627668
65,65,70.52421824604657
66,66,70.52305425542188
67,67,70.5216890899387
68,68,70.52008821056592
69,69,70.51821118477768
70,70,70.51601068667853
71,71,70.51343132840007
72,72,70.51040829443981
73,73,70.50686574587844
74,74,70.50271495589058
75,75,70.49785213152444
76,76,70.49215586921652
77,77,70.48548418275134
78,78,70.47767103216614
79,79,70.4685222701988
80,80,70.45781090900022
81,81,70.44527159365896
82,82,70.43059415023339
83,83,70.41341605401429
84,84,70.39331363813565
85,85,70.36979183281382
86,86,70.34227219072767
87,87,70.31007891354677
88,88,70.27242254742283
89,89,70.22838096028659
90,90,70.17687714975814
91,91,70.11665335589404
92,92,70.04624086613106
93,93,69.96392479862703
94,94,69.86770303240243
95,95,69.7552383155234
96,96,69.62380242286875
97,97,69.47021104909864
98,98,69.2907479060012
99,99,69.08107624144395
100,100,68.8361357038959
101,101,68.5500221351636
102,102,68.21584747675165
103,103,67.82557651298917
104,104,67.36983663614917
105,105,66.83769619288944
106,106,66.21640624312423
107,107,65.4910997152228
108,108,64.64444095584787
109,109,63.65621752627299
110,110,62.50286476347566
111,111,61.15691207327302
112,112,59.58633811889741
113,113,57.75381997062372
114,114,55.615858842620085
115,115,53.12176220665296
116,116,50.212458774189145
117,117,46.81911900396017
118,118,42.86154933423084
119,119,38.24632315682391
